"name","sku","price","quantity","tags","image","description"
"Gold-Plated Jewellery Set","ACC-00042","17.86","48","accessories,griiham","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22930466/2023/4/28/a1e92e8e-2015-4614-bec9-30b6b10a2aec1682678690381GoldFinishshortnecklaceset12012N1.jpg","Gold-Plated Jewellery Set. From GRIIHAM."
"Kalamkari Tussar Jute Silk Saree","APP-00111","274.79","19","clothing,silk,unnati silks","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22923496/2023/4/27/9579bf96-63a2-41ab-8623-f7d0f2ed4c371682613316170PureHandloomPenKalamkariPaintingGichaTussarJuteSaree1.jpg","Kalamkari Tussar Jute Silk Saree. From Unnati Silks."
"Floral Kanjeevaram Saree","APP-00112","67.19","42","clothing,floral,mimosa","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22915762/2023/4/28/0c7fde3c-d9eb-41e3-9eeb-936730355d5d1682634802252Sarees1.jpg","Floral Kanjeevaram Saree. From MIMOSA."
"Woven Design Taant Saree","APP-00113","57.42","89","allsilks,clothing","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22891204/2023/4/25/aea837f1-09a8-4b9c-aee1-3c146f10af951682428023340Sarees1.jpg","Woven Design Taant Saree. From AllSilks."
"Gold-Plated Jewellery Set","ACC-00043","7.74","92","accessories,mansiyaorange","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22867496/2023/4/22/8400f0a4-6895-48ae-a248-bd486d52b6011682171171582MansiyaorangeOriginalLookGoldenColorLongRaniHaarSetForWomen1.jpg","Gold-Plated Jewellery Set. From MANSIYAORANGE."
"Semi-Stitched Lehenga Unstitched Blouse With Dupatta","APP-00114","27.59","100","apnisha,clothing","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22958334/2023/4/29/990a910e-40a8-4cc2-8bb8-d9222feb6a2e1682772733681DULHAN-RED-LEHENGA1.jpg","Semi-Stitched Lehenga Unstitched Blouse With Dupatta. From APNISHA."
"Ready to Wear Lehenga Blouse With Dupatta","APP-00115","80.18","37","clothing,fusionic","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22955774/2023/4/29/6cd82bca-da02-4440-8434-01d57a9424b81682754756419LehengaCholi1.jpg","Ready to Wear Lehenga Blouse With Dupatta. From Fusionic."
"Zari Banarasi Saree","APP-00116","10.02","87","clothing,ode by house of pataudi","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22937952/2023/4/28/3aca50f2-f20b-4c65-ab6b-e95f2c996fc01682687366295YellowSolidVichitraSilkSareewithMatchingBlousePiece1.jpg","Zari Banarasi Saree. From Ode by House of Pataudi."
"Woven Design Kanjeevaram Saree","APP-00117","8.99","43","clothing,here&now","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22936376/2023/4/28/8f3d0804-9d33-4f01-802d-b143975b258e1682687145741Sarees1.jpg","Woven Design Kanjeevaram Saree. From HERE&NOW."
"Striped Pure Cotton Saree","APP-00118","30.14","76","charukriti,clothing,cotton,striped","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22934566/2023/4/28/89461f62-c880-4728-9fdf-3c01e7ee88a51682679040053Sarees1.jpg","Striped Pure Cotton Saree. From Charukriti."
